Year,Discipline,Discipline If Other,Specialty,Role,Role If Other,Sector,Age,Gender,Gender If Other,Race,US Citizen,Arctic
2018,Other,Geography,hydrography; political ecology,Postdoctoral Researcher,NA,Government/Agency,25-29,Female,NA,White,Yes,"No,Yes, I live in the Arctic region"
2018,Biology,NA,Decline to answer,Professional Researcher,NA,Government/Agency,35-39,Female,NA,White,Yes,No
2018,Environmental Science,NA,GIS and Remote Sensing,Professional Researcher,NA,Academia,40-49,Male,NA,White,Yes,"Yes, I live in the Arctic region"
2018,Social Science,NA,Cultural geography,Professional Researcher,NA,Academia,35-39,Female,NA,Asian,Yes,"Yes, I am a national of an Arctic region"
2018,Environmental Science,NA,Soil and Watershed Management,Other,Research Technician and Grad Student,Academia,40-49,Female,NA,White,Yes,No
2018,Social Science,NA,Political Science,Professor,NA,Academia,50+,Male,NA,White,Yes,No
2018,Earth Science,NA,Geophysics,Postdoctoral Researcher,NA,Academia,30-34,Male,NA,White,No,"Yes, I live in the Arctic region"
2018,Environmental Science,NA,Social Science (human dimension of climate change),Graduate Student,NA,Academia,50+,Female,NA,Asian,Yes,"Yes, I am a national of an Arctic region"
2018,Other,Public Health,"Data Analytics, Public Health Informatics",Professional Researcher,NA,Non-profit,25-29,Female,NA,Two or more,Yes,No
2018,Earth Science,NA,Geophysics,Graduate Student,NA,Academia,25-29,Male,NA,White,Yes,No
2019,Environmental Science,NA,"Glacier hydrology, Climate change",Postdoctoral Researcher,NA,Academia,30-34,Female,NA,Asian,Yes,No
2019,Environmental Science,NA,Decline to answer,Professor,NA,Academia,35-39,Male,NA,White,Yes,No
2019,Environmental Science,NA,Decline to answer,Other,Program Manager,Government/Agency,30-34,Male,NA,White,Yes,No
2019,Social Science,NA,Economics,Graduate Student,NA,Academia,25-29,Female,NA,White,Yes,"Yes, I live in the Arctic region"
2019,Biology,NA,Biogeochemistry,Graduate Student,NA,Academia,25-29,Female,NA,White,Yes,No
2019,Earth Science,NA,Glacier-Ocean interactions,Graduate Student,NA,Academia,30-34,Female,NA,White,Yes,No
2019,Earth Science,NA,"sea ice, remote sensing",Postdoctoral Researcher,NA,Academia,30-34,Female,NA,Two or more,Yes,No
2019,Earth Science,NA,Cryosphere,Postdoctoral Researcher,NA,Academia,25-29,Female,NA,Asian,No,Decline to answer
2019,Earth Science,NA,geochemistry,Professional Researcher,NA,Academia,30-34,Female,NA,White,Yes,No
2019,Other,Ecology,community ecology,Professor,NA,Academia,40-49,Female,NA,White,Yes,No
2019,Social Science,NA,urban planning,Graduate Student,NA,Academia,30-34,Female,NA,White,No,No
2019,Earth Science,NA,Atmospheric and Oceanic Sciences,Graduate Student,NA,Academia,25-29,Female,NA,White,No,No
2019,Earth Science,NA,Cryospheric Science,Postdoctoral Researcher,NA,Academia,30-34,Male,NA,White,Yes,No
2019,Physics,NA,Atmospheric Physics,Other,Assistant Professor,Academia,40-49,Female,NA,Asian,Yes,No
2019,Earth Science,NA,Geoscience,Graduate Student,NA,Academia,25-29,Male,NA,White,Yes,No
2019,Earth Science,NA,Climate,Professor,NA,Academia,50+,Male,NA,White,Yes,"Yes, I live in the Arctic region"
2019,Social Science,NA,Political Science and Government,Graduate Student,NA,Academia,25-29,Male,NA,White,Yes,No
2019,Environmental Science,NA,Social science,Professional Researcher,NA,Academia,35-39,Male,NA,White,Yes,No
2019,Earth Science,NA,Decline to answer,Graduate Student,NA,Academia,25-29,Male,NA,White,Yes,No
2019,Environmental Science,NA,Biogeochemistry,Professor,NA,Academia,35-39,Female,NA,Two or more,Yes,No
2019,Environmental Science,NA,microbial ecology and biogeochemistry,Professor,NA,Academia,35-39,Female,NA,White,Yes,No
2019,Social Science,NA,Linguistics,Professor,NA,Academia,50+,Male,NA,Decline to answer,Yes,No
2019,Earth Science,NA,Terrestrial Ecology and Ecosystem Modeling,Professor,NA,Academia,40-49,Female,NA,White,Yes,"Yes, I currently live in an Arctic region"
2019,Social Science,NA,Communication,Professor,NA,Academia,40-49,Male,NA,White,Yes,"Yes, I am a national of an Arctic region"
2019,Biology,NA,Ecology,Graduate Student,NA,Academia,25-29,Female,NA,White,Yes,No
2019,Biology,NA,Mammalogy,Graduate Student,NA,Academia,25-29,Female,NA,White,Yes,No
2019,Other,Ecology,Ecosystem Ecology,Professor,NA,Academia,40-49,Female,NA,White,Yes,No
2019,Other,Soil Science,Permafrost Affected Soils,Graduate Student,NA,Academia,25-29,Male,NA,White,Yes,No
2019,Earth Science,NA,Juneau Icefield Research Program,Other,Community Engagement and Outreach,Government/Agency,18-24,Female,NA,White,Yes,No
2019,Other,Ecology,landscape ecology,Postdoctoral Researcher,NA,Academia,35-39,Female,NA,Decline to answer,Yes,No
2019,Earth Science,NA,Meteorology,Professional Researcher,NA,Academia,50+,Female,NA,White,Yes,No
2019,Earth Science,NA,Hydrology,Professional Researcher,NA,Academia,30-34,Male,NA,White,Yes,"Yes, I currently live in an Arctic region"
2019,Computer Science or Engineering,NA,"Environmental Engineering, GIS, and, Data Science",Professional Researcher,NA,Government/Agency,40-49,Other,All the genders,Two or more,Yes,No
2019,Environmental Science,NA,Biogeography,Professional Researcher,NA,Academia,35-39,Female,NA,White,Yes,"Yes, I currently live in an Arctic region"
2019,Other,Ecology,Marine Ecology,Professional Researcher,NA,Academia,25-29,Female,NA,Two or more,Yes,No
2019,Earth Science,NA,Climate research,Professional Researcher,NA,Government/Agency,50+,Male,NA,White,Yes,No
2019,Earth Science,NA,Physical Oceanography,Professor,NA,Academia,50+,Male,NA,White,Yes,I both currently live and am a national of an Arctic region
